"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2021 00:00 - 01.01.2021 01:00 (CET)","519","n/e","n/e","72","185","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","207","204"
"BZN|DK2","01.01.2021 01:00 - 01.01.2021 02:00 (CET)","520","n/e","n/e","75","177","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","172","182"
"BZN|DK2","01.01.2021 02:00 - 01.01.2021 03:00 (CET)","520","n/e","n/e","76","149","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","167","165"
"BZN|DK2","01.01.2021 03:00 - 01.01.2021 04:00 (CET)","518","n/e","n/e","75","138","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","142","157"
"BZN|DK2","01.01.2021 04:00 - 01.01.2021 05:00 (CET)","511","n/e","n/e","76","143","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","119","121"
"BZN|DK2","01.01.2021 05:00 - 01.01.2021 06:00 (CET)","508","n/e","n/e","75","172","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","97","113"
"BZN|DK2","01.01.2021 06:00 - 01.01.2021 07:00 (CET)","511","n/e","n/e","76","176","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","77","91"
"BZN|DK2","01.01.2021 07:00 - 01.01.2021 08:00 (CET)","517","n/e","n/e","75","176","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","50","67"
"BZN|DK2","01.01.2021 08:00 - 01.01.2021 09:00 (CET)","519","n/e","n/e","73","175","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","44","71"
"BZN|DK2","01.01.2021 09:00 - 01.01.2021 10:00 (CET)","481","n/e","n/e","76","190","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","79","44","85"
"BZN|DK2","01.01.2021 10:00 - 01.01.2021 11:00 (CET)","491","n/e","n/e","79","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","80","56","79"
"BZN|DK2","01.01.2021 11:00 - 01.01.2021 12:00 (CET)","461","n/e","n/e","82","196","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","80","74","83"
"BZN|DK2","01.01.2021 12:00 - 01.01.2021 13:00 (CET)","465","n/e","n/e","129","198","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","14","83","66","78"
"BZN|DK2","01.01.2021 13:00 - 01.01.2021 14:00 (CET)","513","n/e","n/e","136","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","81","28","52"
"BZN|DK2","01.01.2021 14:00 - 01.01.2021 15:00 (CET)","520","n/e","n/e","149","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","82","24","39"
"BZN|DK2","01.01.2021 15:00 - 01.01.2021 16:00 (CET)","560","n/e","n/e","150","197","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","83","28","31"
"BZN|DK2","01.01.2021 16:00 - 01.01.2021 17:00 (CET)","563","n/e","n/e","164","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","25","27"
"BZN|DK2","01.01.2021 17:00 - 01.01.2021 18:00 (CET)","554","n/e","n/e","167","206","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","37","24"
"BZN|DK2","01.01.2021 18:00 - 01.01.2021 19:00 (CET)","575","n/e","n/e","156","201","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","29","22"
"BZN|DK2","01.01.2021 19:00 - 01.01.2021 20:00 (CET)","567","n/e","n/e","159","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","7","22"
"BZN|DK2","01.01.2021 20:00 - 01.01.2021 21:00 (CET)","567","n/e","n/e","188","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","1","21"
"BZN|DK2","01.01.2021 21:00 - 01.01.2021 22:00 (CET)","556","n/e","n/e","183","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","19"
"BZN|DK2","01.01.2021 22:00 - 01.01.2021 23:00 (CET)","618","n/e","n/e","122","213","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","17"
"BZN|DK2","01.01.2021 23:00 - 02.01.2021 00:00 (CET)","622","n/e","n/e","104","210","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","17"
"BZN|DK2","02.01.2021 00:00 - 02.01.2021 01:00 (CET)","536","n/e","n/e","77","182","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","0","17"
"BZN|DK2","02.01.2021 01:00 - 02.01.2021 02:00 (CET)","495","n/e","n/e","77","148","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","0","18"
"BZN|DK2","02.01.2021 02:00 - 02.01.2021 03:00 (CET)","500","n/e","n/e","75","143","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","0","17"
"BZN|DK2","02.01.2021 03:00 - 02.01.2021 04:00 (CET)","507","n/e","n/e","70","135","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","0","17"
"BZN|DK2","02.01.2021 04:00 - 02.01.2021 05:00 (CET)","502","n/e","n/e","71","136","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","0","17"
"BZN|DK2","02.01.2021 05:00 - 02.01.2021 06:00 (CET)","430","n/e","n/e","72","143","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","0","17"
"BZN|DK2","02.01.2021 06:00 - 02.01.2021 07:00 (CET)","435","n/e","n/e","72","169","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","0","16"
"BZN|DK2","02.01.2021 07:00 - 02.01.2021 08:00 (CET)","478","n/e","n/e","103","190","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","0","18"
"BZN|DK2","02.01.2021 08:00 - 02.01.2021 09:00 (CET)","479","n/e","n/e","144","195","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","3","15"
"BZN|DK2","02.01.2021 09:00 - 02.01.2021 10:00 (CET)","423","n/e","n/e","152","204","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","66","3","16"
"BZN|DK2","02.01.2021 10:00 - 02.01.2021 11:00 (CET)","491","n/e","n/e","153","206","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","67","5","19"
"BZN|DK2","02.01.2021 11:00 - 02.01.2021 12:00 (CET)","548","n/e","n/e","139","209","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","39","67","11","23"
"BZN|DK2","02.01.2021 12:00 - 02.01.2021 13:00 (CET)","515","n/e","n/e","137","207","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","67","7","20"
"BZN|DK2","02.01.2021 13:00 - 02.01.2021 14:00 (CET)","555","n/e","n/e","137","207","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","43","67","13","21"
"BZN|DK2","02.01.2021 14:00 - 02.01.2021 15:00 (CET)","559","n/e","n/e","141","209","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","68","22","24"
"BZN|DK2","02.01.2021 15:00 - 02.01.2021 16:00 (CET)","560","n/e","n/e","185","212","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","68","46","36"
"BZN|DK2","02.01.2021 16:00 - 02.01.2021 17:00 (CET)","561","n/e","n/e","153","210","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","56","48"
"BZN|DK2","02.01.2021 17:00 - 02.01.2021 18:00 (CET)","568","n/e","n/e","158","209","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","67","50"
"BZN|DK2","02.01.2021 18:00 - 02.01.2021 19:00 (CET)","578","n/e","n/e","158","208","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","61","45"
"BZN|DK2","02.01.2021 19:00 - 02.01.2021 20:00 (CET)","566","n/e","n/e","140","206","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","65","47"
"BZN|DK2","02.01.2021 20:00 - 02.01.2021 21:00 (CET)","552","n/e","n/e","134","204","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","67","52"
"BZN|DK2","02.01.2021 21:00 - 02.01.2021 22:00 (CET)","535","n/e","n/e","122","194","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","85","60"
"BZN|DK2","02.01.2021 22:00 - 02.01.2021 23:00 (CET)","533","n/e","n/e","134","187","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","72","70"
"BZN|DK2","02.01.2021 23:00 - 03.01.2021 00:00 (CET)","535","n/e","n/e","135","188","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","39","92"
"BZN|DK2","03.01.2021 00:00 - 03.01.2021 01:00 (CET)","548","n/e","n/e","82","180","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","46","91"
"BZN|DK2","03.01.2021 01:00 - 03.01.2021 02:00 (CET)","525","n/e","n/e","75","155","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","38","85"
"BZN|DK2","03.01.2021 02:00 - 03.01.2021 03:00 (CET)","511","n/e","n/e","73","142","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","60","104"
"BZN|DK2","03.01.2021 03:00 - 03.01.2021 04:00 (CET)","458","n/e","n/e","73","142","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","61","87","108"
"BZN|DK2","03.01.2021 04:00 - 03.01.2021 05:00 (CET)","419","n/e","n/e","74","143","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","72","88"
"BZN|DK2","03.01.2021 05:00 - 03.01.2021 06:00 (CET)","420","n/e","n/e","74","160","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","46","94"
"BZN|DK2","03.01.2021 06:00 - 03.01.2021 07:00 (CET)","458","n/e","n/e","74","173","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","102","138"
"BZN|DK2","03.01.2021 07:00 - 03.01.2021 08:00 (CET)","450","n/e","n/e","78","164","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","165","137"
"BZN|DK2","03.01.2021 08:00 - 03.01.2021 09:00 (CET)","467","n/e","n/e","80","165","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","143","174"
"BZN|DK2","03.01.2021 09:00 - 03.01.2021 10:00 (CET)","501","n/e","n/e","76","179","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","59","201","255"
"BZN|DK2","03.01.2021 10:00 - 03.01.2021 11:00 (CET)","509","n/e","n/e","75","183","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","59","214","266"
"BZN|DK2","03.01.2021 11:00 - 03.01.2021 12:00 (CET)","505","n/e","n/e","74","181","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","58","214","313"
"BZN|DK2","03.01.2021 12:00 - 03.01.2021 13:00 (CET)","509","n/e","n/e","74","182","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","57","257","367"
"BZN|DK2","03.01.2021 13:00 - 03.01.2021 14:00 (CET)","507","n/e","n/e","76","184","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","39","58","287","413"
"BZN|DK2","03.01.2021 14:00 - 03.01.2021 15:00 (CET)","498","n/e","n/e","73","179","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","60","326","455"
"BZN|DK2","03.01.2021 15:00 - 03.01.2021 16:00 (CET)","517","n/e","n/e","72","178","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","66","322","490"
"BZN|DK2","03.01.2021 16:00 - 03.01.2021 17:00 (CET)","486","n/e","n/e","72","182","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","356","512"
"BZN|DK2","03.01.2021 17:00 - 03.01.2021 18:00 (CET)","524","n/e","n/e","72","190","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","363","546"
"BZN|DK2","03.01.2021 18:00 - 03.01.2021 19:00 (CET)","517","n/e","n/e","74","192","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","60","368","556"
"BZN|DK2","03.01.2021 19:00 - 03.01.2021 20:00 (CET)","509","n/e","n/e","74","191","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","368","552"
"BZN|DK2","03.01.2021 20:00 - 03.01.2021 21:00 (CET)","504","n/e","n/e","74","192","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","369","531"
"BZN|DK2","03.01.2021 21:00 - 03.01.2021 22:00 (CET)","479","n/e","n/e","73","190","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","366","516"
"BZN|DK2","03.01.2021 22:00 - 03.01.2021 23:00 (CET)","469","n/e","n/e","73","190","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","55","367","504"
"BZN|DK2","03.01.2021 23:00 - 04.01.2021 00:00 (CET)","476","n/e","n/e","77","196","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","355","436"
"BZN|DK2","04.01.2021 00:00 - 04.01.2021 01:00 (CET)","458","n/e","n/e","78","199","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","262","324"
"BZN|DK2","04.01.2021 01:00 - 04.01.2021 02:00 (CET)","490","n/e","n/e","79","200","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","352","318"
"BZN|DK2","04.01.2021 02:00 - 04.01.2021 03:00 (CET)","430","n/e","n/e","74","192","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","364","276"
"BZN|DK2","04.01.2021 03:00 - 04.01.2021 04:00 (CET)","441","n/e","n/e","74","193","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","366","252"
"BZN|DK2","04.01.2021 04:00 - 04.01.2021 05:00 (CET)","509","n/e","n/e","76","195","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","357","235"
"BZN|DK2","04.01.2021 05:00 - 04.01.2021 06:00 (CET)","500","n/e","n/e","75","194","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","61","342","323"
"BZN|DK2","04.01.2021 06:00 - 04.01.2021 07:00 (CET)","519","n/e","n/e","73","191","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","338","345"
"BZN|DK2","04.01.2021 07:00 - 04.01.2021 08:00 (CET)","522","n/e","n/e","99","196","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","327","391"
"BZN|DK2","04.01.2021 08:00 - 04.01.2021 09:00 (CET)","599","n/e","n/e","190","214","84","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","335","425"
"BZN|DK2","04.01.2021 09:00 - 04.01.2021 10:00 (CET)","657","n/e","n/e","205","209","65","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","61","345","456"
"BZN|DK2","04.01.2021 10:00 - 04.01.2021 11:00 (CET)","590","n/e","n/e","184","197","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","61","358","466"
"BZN|DK2","04.01.2021 11:00 - 04.01.2021 12:00 (CET)","560","n/e","n/e","163","197","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","61","360","448"
"BZN|DK2","04.01.2021 12:00 - 04.01.2021 13:00 (CET)","586","n/e","n/e","150","197","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","65","348","429"
"BZN|DK2","04.01.2021 13:00 - 04.01.2021 14:00 (CET)","582","n/e","n/e","153","202","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","71","341","405"
"BZN|DK2","04.01.2021 14:00 - 04.01.2021 15:00 (CET)","575","n/e","n/e","157","203","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","73","341","388"
"BZN|DK2","04.01.2021 15:00 - 04.01.2021 16:00 (CET)","578","n/e","n/e","160","204","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","74","349","408"
"BZN|DK2","04.01.2021 16:00 - 04.01.2021 17:00 (CET)","576","n/e","n/e","159","196","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","345","436"
"BZN|DK2","04.01.2021 17:00 - 04.01.2021 18:00 (CET)","574","n/e","n/e","159","199","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","346","452"
"BZN|DK2","04.01.2021 18:00 - 04.01.2021 19:00 (CET)","570","n/e","n/e","160","206","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","326","451"
"BZN|DK2","04.01.2021 19:00 - 04.01.2021 20:00 (CET)","569","n/e","n/e","153","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","336","441"
"BZN|DK2","04.01.2021 20:00 - 04.01.2021 21:00 (CET)","564","n/e","n/e","146","192","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","315","431"
"BZN|DK2","04.01.2021 21:00 - 04.01.2021 22:00 (CET)","565","n/e","n/e","135","191","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","328","435"
"BZN|DK2","04.01.2021 22:00 - 04.01.2021 23:00 (CET)","558","n/e","n/e","79","190","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","317","440"
"BZN|DK2","04.01.2021 23:00 - 05.01.2021 00:00 (CET)","538","n/e","n/e","72","190","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","317","441"
"BZN|DK2","05.01.2021 00:00 - 05.01.2021 01:00 (CET)","447","n/e","n/e","73","191","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","319","430"
"BZN|DK2","05.01.2021 01:00 - 05.01.2021 02:00 (CET)","350","n/e","n/e","73","177","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","317","442"
"BZN|DK2","05.01.2021 02:00 - 05.01.2021 03:00 (CET)","302","n/e","n/e","72","174","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","297","438"
"BZN|DK2","05.01.2021 03:00 - 05.01.2021 04:00 (CET)","302","n/e","n/e","72","174","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","325","430"
"BZN|DK2","05.01.2021 04:00 - 05.01.2021 05:00 (CET)","354","n/e","n/e","72","174","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","324","407"
"BZN|DK2","05.01.2021 05:00 - 05.01.2021 06:00 (CET)","439","n/e","n/e","73","175","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","76","320","415"
"BZN|DK2","05.01.2021 06:00 - 05.01.2021 07:00 (CET)","475","n/e","n/e","71","178","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","333","426"
"BZN|DK2","05.01.2021 07:00 - 05.01.2021 08:00 (CET)","562","n/e","n/e","108","199","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","333","423"
"BZN|DK2","05.01.2021 08:00 - 05.01.2021 09:00 (CET)","573","n/e","n/e","151","209","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","327","402"
"BZN|DK2","05.01.2021 09:00 - 05.01.2021 10:00 (CET)","573","n/e","n/e","125","185","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","80","347","391"
"BZN|DK2","05.01.2021 10:00 - 05.01.2021 11:00 (CET)","568","n/e","n/e","121","137","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","77","337","410"
"BZN|DK2","05.01.2021 11:00 - 05.01.2021 12:00 (CET)","578","n/e","n/e","154","136","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","79","303","415"
"BZN|DK2","05.01.2021 12:00 - 05.01.2021 13:00 (CET)","598","n/e","n/e","166","138","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","77","305","381"
"BZN|DK2","05.01.2021 13:00 - 05.01.2021 14:00 (CET)","653","n/e","n/e","162","138","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","75","311","387"
"BZN|DK2","05.01.2021 14:00 - 05.01.2021 15:00 (CET)","655","n/e","n/e","165","137","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","77","317","377"
"BZN|DK2","05.01.2021 15:00 - 05.01.2021 16:00 (CET)","637","n/e","n/e","139","136","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","78","320","366"
"BZN|DK2","05.01.2021 16:00 - 05.01.2021 17:00 (CET)","586","n/e","n/e","143","144","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","311","343"
"BZN|DK2","05.01.2021 17:00 - 05.01.2021 18:00 (CET)","522","n/e","n/e","142","148","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","316","344"
"BZN|DK2","05.01.2021 18:00 - 05.01.2021 19:00 (CET)","528","n/e","n/e","118","144","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","280","331"
"BZN|DK2","05.01.2021 19:00 - 05.01.2021 20:00 (CET)","593","n/e","n/e","117","143","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","286","313"
"BZN|DK2","05.01.2021 20:00 - 05.01.2021 21:00 (CET)","542","n/e","n/e","128","138","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","221","302"
"BZN|DK2","05.01.2021 21:00 - 05.01.2021 22:00 (CET)","535","n/e","n/e","113","127","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","199","280"
"BZN|DK2","05.01.2021 22:00 - 05.01.2021 23:00 (CET)","507","n/e","n/e","87","126","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","217","278"
"BZN|DK2","05.01.2021 23:00 - 06.01.2021 00:00 (CET)","484","n/e","n/e","35","120","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","227","296"
"BZN|DK2","06.01.2021 00:00 - 06.01.2021 01:00 (CET)","476","n/e","n/e","59","159","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","247","339"
"BZN|DK2","06.01.2021 01:00 - 06.01.2021 02:00 (CET)","483","n/e","n/e","67","172","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","215","342"
"BZN|DK2","06.01.2021 02:00 - 06.01.2021 03:00 (CET)","462","n/e","n/e","70","177","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","172","339"
"BZN|DK2","06.01.2021 03:00 - 06.01.2021 04:00 (CET)","440","n/e","n/e","70","176","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","174","348"
"BZN|DK2","06.01.2021 04:00 - 06.01.2021 05:00 (CET)","440","n/e","n/e","70","182","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","169","375"
"BZN|DK2","06.01.2021 05:00 - 06.01.2021 06:00 (CET)","435","n/e","n/e","70","185","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","146","400"
