"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","13.04.2021 21:00 - 13.04.2021 22:00 (CET)","585","n/e","n/e","61","96","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","297","163"
"BZN|DK2","13.04.2021 22:00 - 13.04.2021 23:00 (CET)","514","n/e","n/e","67","107","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","263","164"
"BZN|DK2","13.04.2021 23:00 - 14.04.2021 00:00 (CET)","495","n/e","n/e","87","139","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","239","161"
"BZN|DK2","14.04.2021 00:00 - 14.04.2021 01:00 (CET)","472","n/e","n/e","89","142","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","280","160"
"BZN|DK2","14.04.2021 01:00 - 14.04.2021 02:00 (CET)","492","n/e","n/e","85","135","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","273","159"
"BZN|DK2","14.04.2021 02:00 - 14.04.2021 03:00 (CET)","471","n/e","n/e","81","129","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","196","137"
"BZN|DK2","14.04.2021 03:00 - 14.04.2021 04:00 (CET)","464","n/e","n/e","79","126","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","131","109"
"BZN|DK2","14.04.2021 04:00 - 14.04.2021 05:00 (CET)","470","n/e","n/e","76","120","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","78","103"
"BZN|DK2","14.04.2021 05:00 - 14.04.2021 06:00 (CET)","478","n/e","n/e","68","106","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","71","80"
"BZN|DK2","14.04.2021 06:00 - 14.04.2021 07:00 (CET)","611","n/e","n/e","100","135","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","77","56","48"
"BZN|DK2","14.04.2021 07:00 - 14.04.2021 08:00 (CET)","708","n/e","n/e","150","147","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","80","32","34"
"BZN|DK2","14.04.2021 08:00 - 14.04.2021 09:00 (CET)","730","n/e","n/e","153","148","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","109","83","27","20"
"BZN|DK2","14.04.2021 09:00 - 14.04.2021 10:00 (CET)","684","n/e","n/e","117","139","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","192","82","11","15"
"BZN|DK2","14.04.2021 10:00 - 14.04.2021 11:00 (CET)","620","n/e","n/e","78","115","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","252","81","7","16"
"BZN|DK2","14.04.2021 11:00 - 14.04.2021 12:00 (CET)","611","n/e","n/e","76","112","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","80","9","18"
"BZN|DK2","14.04.2021 12:00 - 14.04.2021 13:00 (CET)","588","n/e","n/e","78","114","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","264","79","11","25"
"BZN|DK2","14.04.2021 13:00 - 14.04.2021 14:00 (CET)","599","n/e","n/e","76","114","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","243","79","16","32"
"BZN|DK2","14.04.2021 14:00 - 14.04.2021 15:00 (CET)","584","n/e","n/e","70","111","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","259","75","19","47"
"BZN|DK2","14.04.2021 15:00 - 14.04.2021 16:00 (CET)","567","n/e","n/e","56","89","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","247","79","16","62"
"BZN|DK2","14.04.2021 16:00 - 14.04.2021 17:00 (CET)","550","n/e","n/e","29","45","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","206","75","27","52"
"BZN|DK2","14.04.2021 17:00 - 14.04.2021 18:00 (CET)","492","n/e","n/e","32","50","19","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","168","76","20","46"
"BZN|DK2","14.04.2021 18:00 - 14.04.2021 19:00 (CET)","473","n/e","n/e","39","61","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","86","77","13","53"
"BZN|DK2","14.04.2021 19:00 - 14.04.2021 20:00 (CET)","428","n/e","n/e","47","75","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","77","31","63"
"BZN|DK2","14.04.2021 20:00 - 14.04.2021 21:00 (CET)","420","n/e","n/e","72","115","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","76","62","70"
"BZN|DK2","14.04.2021 21:00 - 14.04.2021 22:00 (CET)","569","n/e","n/e","106","171","43","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","86","134","58"
"BZN|DK2","14.04.2021 22:00 - 14.04.2021 23:00 (CET)","495","n/e","n/e","117","189","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","86","174","71"
"BZN|DK2","14.04.2021 23:00 - 15.04.2021 00:00 (CET)","425","n/e","n/e","101","163","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","128","81"
"BZN|DK2","15.04.2021 00:00 - 15.04.2021 01:00 (CET)","495","n/e","n/e","85","136","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","95","71"
"BZN|DK2","15.04.2021 01:00 - 15.04.2021 02:00 (CET)","496","n/e","n/e","71","113","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","30","74"
"BZN|DK2","15.04.2021 02:00 - 15.04.2021 03:00 (CET)","492","n/e","n/e","67","108","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","13","87"
"BZN|DK2","15.04.2021 03:00 - 15.04.2021 04:00 (CET)","487","n/e","n/e","68","110","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","25","80"
"BZN|DK2","15.04.2021 04:00 - 15.04.2021 05:00 (CET)","514","n/e","n/e","68","109","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","23","79"
"BZN|DK2","15.04.2021 05:00 - 15.04.2021 06:00 (CET)","511","n/e","n/e","78","123","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","20","75"
"BZN|DK2","15.04.2021 06:00 - 15.04.2021 07:00 (CET)","596","n/e","n/e","77","120","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","82","12","67"
"BZN|DK2","15.04.2021 07:00 - 15.04.2021 08:00 (CET)","622","n/e","n/e","107","106","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","80","11","70"
"BZN|DK2","15.04.2021 08:00 - 15.04.2021 09:00 (CET)","640","n/e","n/e","147","111","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","107","80","16","60"
"BZN|DK2","15.04.2021 09:00 - 15.04.2021 10:00 (CET)","583","n/e","n/e","141","127","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","192","81","22","66"
"BZN|DK2","15.04.2021 10:00 - 15.04.2021 11:00 (CET)","464","n/e","n/e","141","131","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","242","80","22","86"
"BZN|DK2","15.04.2021 11:00 - 15.04.2021 12:00 (CET)","574","n/e","n/e","146","139","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","259","80","45","99"
"BZN|DK2","15.04.2021 12:00 - 15.04.2021 13:00 (CET)","591","n/e","n/e","140","130","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","80","38","122"
"BZN|DK2","15.04.2021 13:00 - 15.04.2021 14:00 (CET)","504","n/e","n/e","127","109","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","255","80","17","130"
"BZN|DK2","15.04.2021 14:00 - 15.04.2021 15:00 (CET)","499","n/e","n/e","121","96","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","252","80","9","138"
"BZN|DK2","15.04.2021 15:00 - 15.04.2021 16:00 (CET)","390","n/e","n/e","108","76","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","245","78","3","186"
"BZN|DK2","15.04.2021 16:00 - 15.04.2021 17:00 (CET)","514","n/e","n/e","119","94","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","206","80","7","240"
"BZN|DK2","15.04.2021 17:00 - 15.04.2021 18:00 (CET)","583","n/e","n/e","126","103","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","139","79","8","276"
"BZN|DK2","15.04.2021 18:00 - 15.04.2021 19:00 (CET)","496","n/e","n/e","129","108","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","77","80","10","282"
"BZN|DK2","15.04.2021 19:00 - 15.04.2021 20:00 (CET)","566","n/e","n/e","67","92","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","78","58","258"
"BZN|DK2","15.04.2021 20:00 - 15.04.2021 21:00 (CET)","530","n/e","n/e","72","114","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","74","215"
"BZN|DK2","15.04.2021 21:00 - 15.04.2021 22:00 (CET)","393","n/e","n/e","68","107","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","68","172"
"BZN|DK2","15.04.2021 22:00 - 15.04.2021 23:00 (CET)","456","n/e","n/e","64","100","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","15","148"
"BZN|DK2","15.04.2021 23:00 - 16.04.2021 00:00 (CET)","511","n/e","n/e","63","99","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","8","121"
